Team,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,D6,I1,I2,I3,I4,I5,I6,I7,Notes
10042,4.5,4,5,4,4.5,3,2.5,3,3,2,4,3.5,3,2,3,2.5,3,2.5,
10105,3,3.5,3,2,3,4.5,4,4.5,4,3.5,5,3,2.5,3,2,3.5,2,3,
10238,3.5,3,4,3,4,3.5,4,3.5,4,3.5,4,5,4.5,4,3.5,4,4.5,3.5,
10371,4,4.5,4.5,3.5,4,2.5,2,2,2.5,1.5,3.5,2,3,2,1.5,2,2.5,1.5,
10487,2.5,2,3,2,2.5,3.5,3,3.5,3,3,3,4.5,4,3.5,4,3.5,4,3,
10596,3,3,2.5,3.5,3,4,4.5,4,4.5,4,4.5,2.5,3,2,2.5,2,3,2,
10623,2,2.5,2,1.5,2,2,2.5,2,1.5,2.5,2,3,2.5,3,2,2.5,3.5,2.5,Rookie Team
10789,3.5,4,3.5,4,3.5,3,2.5,3.5,2,3,2.5,3,3.5,3,3.5,3,3,2.5,
10834,1.5,2,2.5,1,2,3,3.5,3,3.5,2.5,3,2,1.5,2,1,2.5,1.5,2,
10912,3,2.5,3.5,2,3,2,1.5,2.5,2,1.5,3,4,4,3,4.5,3,4,3,
11056,4,3.5,4,4.5,3.5,3,2,2.5,2,2,2.5,2.5,2,2.5,2,2,2.5,1.5,
11189,2,1.5,2,1,1.5,2.5,3,2.5,2.5,3,2.5,2,2.5,2,2,1.5,2,2.5,Rookie Team
