Team,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,Notes
15989,4,2.5,4.5,3,4.5,3,2,2,2,1,5,5,5,2,2,4,3.5,2,
15993,4,3,3,2,3,3.5,3.5,3,3,3,2.6,3,4.5,2.5,1.5,3.5,1,4,
19056,3,3,4,2,3,3,3,3,3,3,3,1,2,2,2,3,2,0,
19083,3,4,2,1,2,2,1,1,1,1,2,1,0,0,2,3,1.5,4.5,
19134,3,4,1,4,3,0,1,1,1,1,1,0,3,2,2,1.5,1,3,
21087,4,5,5,5,5,2,2,2,3,2,4,4,5,2,3,4,2,0,
21476,3,3.5,5,5,2,4,4,5,4,4,4,3.5,4,3,3,3,3.5,2.5,
32744,1,1,3,1,2,2,2,2,2,2,2,1,2,2,3.5,3.5,4,4,Rookie Team
24964,0,2,3,3,4,1,3,3,2,2,4,2,0,2,2,2,3,0,
99975,2,2,3,3,3,1,1,1,1,1,1,1,2,1,0.5,2.5,3,2,Rookie Team
