Team,Th1,Th2,Th3,Cn1,Cn2,Cn3,R1,R2,R3,R4,S1,S2,S3,S4,I1,I2,I3,I4,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,Notes
11359,2.0,1.5,0.0,1.0,5.0,2.5,2.5,4.5,3.0,5.0,2.0,1.0,4.5,1.0,4.0,3.0,5.0,4.5,3.5,0.0,0.0,2.5,4.0,0.5,2.0,0.5,1.5,0.0,
11418,0.5,2.0,4.5,5.0,3.0,2.0,2.5,4.0,0.5,4.5,2.5,0.5,3.5,3.5,4.0,1.0,4.5,0.5,0.5,1.5,5.0,2.0,4.5,4.5,1.5,2.5,1.0,1.5,
11438,1.0,0.5,1.5,3.0,0.0,1.0,2.0,4.0,2.0,2.0,2.0,0.5,4.5,4.5,3.5,2.0,2.0,1.5,3.5,3.5,1.5,4.5,3.5,1.0,4.0,3.5,1.0,1.5,
11471,4.5,2.0,4.5,0.5,1.5,3.5,1.5,2.5,0.5,4.5,2.0,1.5,5.0,4.0,1.0,2.0,3.5,4.5,3.0,3.5,1.0,1.5,1.0,0.0,2.0,1.5,4.5,4.5,
12183,4.0,1.5,2.0,4.0,3.5,2.0,4.5,3.5,0.0,2.5,1.0,2.5,4.5,5.0,5.0,2.5,4.0,4.5,1.5,4.5,2.0,3.0,3.0,4.0,4.0,3.0,1.5,3.5,
12494,4.0,0.5,0.0,0.5,1.5,5.0,3.0,3.5,3.0,1.0,0.5,4.5,2.0,4.0,1.5,1.5,4.5,4.5,4.5,3.5,2.0,3.0,3.5,2.0,1.0,2.5,4.0,3.5,
12929,4.0,4.5,2.5,4.5,4.5,2.5,1.0,0.5,1.0,2.5,0.0,1.5,2.5,1.5,3.5,3.0,2.5,3.0,3.0,2.0,1.0,3.0,0.0,0.0,1.5,1.0,4.0,1.0,No portfolio
12932,0.5,4.0,1.0,1.0,2.5,1.5,3.5,0.5,4.5,4.0,1.0,2.0,5.0,2.5,3.5,0.5,0.5,0.5,2.5,0.0,2.5,2.0,2.0,4.0,1.0,3.0,5.0,1.0,
13268,4.5,4.0,2.0,1.5,3.5,0.5,3.0,2.5,4.5,1.0,4.5,4.0,4.0,5.0,3.0,3.5,3.0,4.5,4.5,1.0,4.5,1.0,2.0,1.5,3.0,3.0,0.0,4.5,
13278,4.5,4.5,4.0,1.5,0.5,2.0,0.5,2.0,3.0,1.5,1.5,1.5,4.0,0.0,4.0,3.0,2.5,3.5,0.0,4.5,1.5,2.0,2.5,4.5,1.0,2.5,5.0,1.0,
13483,1.0,3.0,2.0,3.0,0.0,1.0,4.5,1.0,1.5,5.0,1.5,3.0,2.0,0.0,3.0,2.5,4.5,5.0,0.5,3.0,1.5,0.5,4.5,0.5,2.5,1.0,3.0,1.0,
13550,2.0,1.0,4.0,0.5,3.5,1.0,4.0,1.5,3.5,3.5,2.5,4.5,2.5,1.0,2.5,3.5,2.0,2.5,0.5,1.5,4.0,1.5,1.0,4.0,0.0,0.0,0.5,1.0,
13772,3.5,1.0,4.5,3.5,0.0,2.5,1.0,2.0,1.0,2.0,3.5,2.5,1.0,0.5,5.0,2.0,0.5,0.5,4.5,0.0,4.5,4.5,1.0,1.0,0.5,0.0,1.0,1.5,
14070,4.0,0.5,0.0,0.5,2.0,3.5,5.0,2.0,2.0,4.5,4.0,4.5,1.5,3.5,4.0,1.5,1.0,4.5,1.0,1.5,0.5,4.5,3.0,1.0,2.0,2.0,0.0,3.5,
14114,4.0,0.5,0.0,2.5,4.5,4.0,2.0,4.0,4.0,2.5,1.0,3.5,4.5,4.5,4.5,2.0,1.0,3.0,1.5,3.5,1.5,3.0,3.5,0.0,0.5,0.5,2.0,2.0,Veteran team
15183,3.0,0.0,4.0,1.0,3.5,5.0,0.0,2.0,4.5,1.5,4.0,4.0,3.5,5.0,3.5,0.5,4.0,4.0,2.0,0.5,1.5,2.5,1.5,5.0,1.0,1.5,0.5,3.5,
15551,1.5,2.0,4.5,3.0,1.0,5.0,4.0,1.5,2.0,2.5,3.0,2.5,0.5,1.5,0.5,2.5,3.0,3.0,0.5,3.0,4.0,3.0,1.5,4.0,2.0,4.0,0.0,0.5,No portfolio
